network,station,Startdate,Enddate,latitude,longitude,elevation,sample_frequency,duration_info,URL1,URL2,URL3
AF,MOPA,2006-11-11,2599-12-31,-23.517,31.398,362.0,20,perm,http://folk.uib.no/hif002/glimer-figs/AF_MOPA_1.jpg,http://folk.uib.no/hif002/glimer-figs/AF_MOPA_2.jpg,http://folk.uib.no/hif002/glimer-figs/AF_MOPA_3.jpg
AF,MTVE,2011-08-02,2599-12-31,-10.25,40.167,21.0,40,perm,http://folk.uib.no/hif002/glimer-figs/AF_MTVE_1.jpg,http://folk.uib.no/hif002/glimer-figs/AF_MTVE_2.jpg,http://folk.uib.no/hif002/glimer-figs/AF_MTVE_3.jpg
AF,MZM,2006-01-01,2599-12-31,-11.434,34.035,1258.0,40,perm,http://folk.uib.no/hif002/glimer-figs/AF_MZM_1.jpg,http://folk.uib.no/hif002/glimer-figs/AF_MZM_2.jpg,http://folk.uib.no/hif002/glimer-figs/AF_MZM_3.jpg
AF,NBI,2011-03-08,2599-12-31,-1.2739,36.8037,1713.0,40,perm,http://folk.uib.no/hif002/glimer-figs/AF_NBI_1.jpg,http://folk.uib.no/hif002/glimer-figs/AF_NBI_2.jpg,http://folk.uib.no/hif002/glimer-figs/AF_NBI_3.jpg
AF,PKA,2006-10-16,2599-12-31,-29.67,22.757,960.0,20,perm,http://folk.uib.no/hif002/glimer-figs/AF_PKA_1.jpg,http://folk.uib.no/hif002/glimer-figs/AF_PKA_2.jpg,http://folk.uib.no/hif002/glimer-figs/AF_PKA_3.jpg
AF,POGA,2006-03-27,2599-12-31,-27.346,31.707,290.0,20,perm,http://folk.uib.no/hif002/glimer-figs/AF_POGA_1.jpg,http://folk.uib.no/hif002/glimer-figs/AF_POGA_2.jpg,http://folk.uib.no/hif002/glimer-figs/AF_POGA_3.jpg
AF,PWET,2010-08-09,2599-12-31,-8.28,28.53,948.0,40,perm,http://folk.uib.no/hif002/glimer-figs/AF_PWET_1.jpg,http://folk.uib.no/hif002/glimer-figs/AF_PWET_2.jpg,http://folk.uib.no/hif002/glimer-figs/AF_PWET_3.jpg
AF,SEK,2006-04-16,2599-12-31,-28.323,27.625,1486.0,20,perm,http://folk.uib.no/hif002/glimer-figs/AF_SEK_1.jpg,http://folk.uib.no/hif002/glimer-figs/AF_SEK_2.jpg,http://folk.uib.no/hif002/glimer-figs/AF_SEK_3.jpg
AF,SHAI,2009-07-02,2599-12-31,5.88136,0.04389,82.2,40,perm,http://folk.uib.no/hif002/glimer-figs/AF_SHAI_1.jpg,http://folk.uib.no/hif002/glimer-figs/AF_SHAI_2.jpg,http://folk.uib.no/hif002/glimer-figs/AF_SHAI_3.jpg
AF,SVMA,2013-01-01,2599-12-31,16.84039,-24.925,195.0,50,perm,http://folk.uib.no/hif002/glimer-figs/NOT_AVAILABLE.jpg,http://folk.uib.no/hif002/glimer-figs/NOT_AVAILABLE.jpg,http://folk.uib.no/hif002/glimer-figs/NOT_AVAILABLE.jpg
AF,SWZ,2006-02-08,2599-12-31,-27.182,25.332,1342.0,20,perm,http://folk.uib.no/hif002/glimer-figs/AF_SWZ_1.jpg,http://folk.uib.no/hif002/glimer-figs/AF_SWZ_2.jpg,http://folk.uib.no/hif002/glimer-figs/AF_SWZ_3.jpg
AF,TEBE,2007-11-14,2599-12-31,0.0536,32.483,1132.0,40,perm,http://folk.uib.no/hif002/glimer-figs/AF_TEBE_1.jpg,http://folk.uib.no/hif002/glimer-figs/AF_TEBE_2.jpg,http://folk.uib.no/hif002/glimer-figs/AF_TEBE_3.jpg
AF,TEZI,2006-01-10,2599-12-31,-15.747,26.016,1115.6,40,perm,http://folk.uib.no/hif002/glimer-figs/AF_TEZI_1.jpg,http://folk.uib.no/hif002/glimer-figs/AF_TEZI_2.jpg,http://folk.uib.no/hif002/glimer-figs/AF_TEZI_3.jpg
AF,UPI,2006-06-18,2599-12-31,-28.362,21.253,845.0,20,perm,http://folk.uib.no/hif002/glimer-figs/AF_UPI_1.jpg,http://folk.uib.no/hif002/glimer-figs/AF_UPI_2.jpg,http://folk.uib.no/hif002/glimer-figs/AF_UPI_3.jpg
AF,WIN,2004-09-01,2010-12-31,-22.5667,17.1,1728,20,perm,http://folk.uib.no/hif002/glimer-figs/AF_WIN_1.jpg,http://folk.uib.no/hif002/glimer-figs/AF_WIN_2.jpg,http://folk.uib.no/hif002/glimer-figs/AF_WIN_3.jpg
AF,YNDE,2007-02-08,2599-12-31,3.87,11.456,717,40,perm,http://folk.uib.no/hif002/glimer-figs/AF_YNDE_1.jpg,http://folk.uib.no/hif002/glimer-figs/AF_YNDE_2.jpg,http://folk.uib.no/hif002/glimer-figs/AF_YNDE_3.jpg
AF,ZOMB,2006-06-01,2599-01-01,-15.3833,35.35,885.0,20,perm,http://folk.uib.no/hif002/glimer-figs/AF_ZOMB_1.jpg,http://folk.uib.no/hif002/glimer-figs/AF_ZOMB_2.jpg,http://folk.uib.no/hif002/glimer-figs/AF_ZOMB_3.jpg
AG,CCAR,2010-02-24,2599-12-31,33.917,-91.772,72.0,100,perm,http://folk.uib.no/hif002/glimer-figs/AG_CCAR_1.jpg,http://folk.uib.no/hif002/glimer-figs/AG_CCAR_2.jpg,http://folk.uib.no/hif002/glimer-figs/AG_CCAR_3.jpg
AG,FCAR,2010-02-16,2599-12-31,35.89,-92.124,190.0,100,perm,http://folk.uib.no/hif002/glimer-figs/AG_FCAR_1.jpg,http://folk.uib.no/hif002/glimer-figs/AG_FCAR_2.jpg,http://folk.uib.no/hif002/glimer-figs/AG_FCAR_3.jpg
AG,HHAR,2010-03-03,2599-12-31,36.282,-93.94,421.0,100,perm,http://folk.uib.no/hif002/glimer-figs/AG_HHAR_1.jpg,http://folk.uib.no/hif002/glimer-figs/AG_HHAR_2.jpg,http://folk.uib.no/hif002/glimer-figs/AG_HHAR_3.jpg
AG,LCAR,2010-02-10,2599-12-31,36.07,-91.154,103.0,100,perm,http://folk.uib.no/hif002/glimer-figs/AG_LCAR_1.jpg,http://folk.uib.no/hif002/glimer-figs/AG_LCAR_2.jpg,http://folk.uib.no/hif002/glimer-figs/AG_LCAR_3.jpg
AG,WHAR,2010-02-15,2599-12-31,35.29,-92.289,184.0,100,perm,http://folk.uib.no/hif002/glimer-figs/AG_WHAR_1.jpg,http://folk.uib.no/hif002/glimer-figs/AG_WHAR_2.jpg,http://folk.uib.no/hif002/glimer-figs/AG_WHAR_3.jpg
AG,WLAR,2010-02-23,2599-12-31,33.688,-93.112,77.0,100,perm,http://folk.uib.no/hif002/glimer-figs/AG_WLAR_1.jpg,http://folk.uib.no/hif002/glimer-figs/AG_WLAR_2.jpg,http://folk.uib.no/hif002/glimer-figs/AG_WLAR_3.jpg
AI,BELA,2009-01-16,2599-12-31,-77.875,-34.6269,262.0,20,perm,http://folk.uib.no/hif002/glimer-figs/AI_BELA_1.jpg,http://folk.uib.no/hif002/glimer-figs/AI_BELA_2.jpg,http://folk.uib.no/hif002/glimer-figs/AI_BELA_3.jpg
AI,DSPA,2003-01-01,2599-12-31,-53.9536,-68.2668,151.0,20,perm,http://folk.uib.no/hif002/glimer-figs/AI_DSPA_1.jpg,http://folk.uib.no/hif002/glimer-figs/AI_DSPA_2.jpg,http://folk.uib.no/hif002/glimer-figs/AI_DSPA_3.jpg
